GPU,eBay Price,QTY Sold,btc_Prices
Radeon RX 6700 XT,984.0,301.0,67562.17
Radeon RX 6800,1324.0,61.0,66954.11
Radeon RX 6800 XT,1588.0,103.0,65468.75
Radeon RX 6900 XT,1874.0,96.0,63554.44
GeForce RTX 3060 12GB,931.0,395.0,63241.11
GeForce RTX 3060 T,1298.0,254.0,63070.54
GeForce RTX 3070,1357.0,818.0,62354.86
GeForce RTX 3080,2177.0,437.0,62249.18
GeForce RTX 3090,3016.0,374.0,61971.59
Radeon RX 6700 XT,944.0,315.0,61731.29
Radeon RX 6800,1314.0,68.0,61546.21
Radeon RX 6800 XT,1511.0,139.0,61516.31
Radeon RX 6900 XT,1845.0,120.0,61258.73
GeForce RTX 3060 12GB,922.0,600.0,60587.09
GeForce RTX 3060 T,1320.0,325.0,60381.35
GeForce RTX 3070,1381.0,1112.0,60345.17
GeForce RTX 3080,2246.0,654.0,59777.98
GeForce RTX 3090,3063.0,545.0,58736.92
Radeon RX 6700 XT,970.0,330.0,58280.73
Radeon RX 6800,1320.0,114.0,58020.46
Radeon RX 6800 XT,1516.0,207.0,57857.5
Radeon RX 6900 XT,1829.0,161.0,57665.9
GeForce RTX 3060 12GB,917.0,725.0,57627.67
GeForce RTX 3060 T,1375.0,283.0,57578.22
GeForce RTX 3070,1391.0,1598.0,57473.23
GeForce RTX 3080,2199.0,904.0,57292.28
GeForce RTX 3090,3025.0,722.0,57253.28
Radeon RX 6700 XT,970.0,429.0,57213.33
Radeon RX 6800,1371.0,115.0,56872.38
Radeon RX 6800 XT,1582.0,141.0,56750.0
Radeon RX 6900 XT,1861.0,127.0,56508.48
GeForce RTX 3060 12GB,909.0,855.0,56507.91
GeForce RTX 3060 T,1416.0,261.0,55997.23
GeForce RTX 3070,1421.0,1679.0,55947.27
GeForce RTX 3080,2235.0,1177.0,55343.76
GeForce RTX 3090,3140.0,751.0,55122.59
Radeon RX 6700 XT,915.0,303.0,55071.46
Radeon RX 6800,1260.0,109.0,54884.1
Radeon RX 6800 XT,1487.0,153.0,54625.74
Radeon RX 6900 XT,1884.0,93.0,54204.96
GeForce RTX 3060 12GB,874.0,693.0,54123.4
GeForce RTX 3060 T,1238.0,264.0,53808.8
GeForce RTX 3070,1300.0,1258.0,53588.21
GeForce RTX 3070 T,1407.0,42.0,51769.06
GeForce RTX 3080,1978.0,1114.0,51731.71
GeForce RTX 3080 T,2307.0,621.0,51608.15
GeForce RTX 3090,3002.0,491.0,51505.83
Radeon RX 6700 XT,769.0,272.0,50785.69
Radeon RX 6800,1052.0,114.0,50692.3
Radeon RX 6800 XT,1304.0,56.0,50564.63
Radeon RX 6900 XT,1559.0,94.0,50511.12
GeForce RTX 3060 12GB,742.0,784.0,50470.89
GeForce RTX 3060 T,1081.0,206.0,49922.52
GeForce RTX 3070,1081.0,1078.0,49702.27
GeForce RTX 3070 T,1104.0,185.0,49618.43
GeForce RTX 3080,1685.0,807.0,49523.5
GeForce RTX 3080 T,1945.0,266.0,49335.68
GeForce RTX 3090,2580.0,400.0,49329.01
Radeon RX 6700 XT,726.0,321.0,49143.95
Radeon RX 6800,1038.0,98.0,48862.76
Radeon RX 6800 XT,1253.0,37.0,48806.78
Radeon RX 6900 XT,1496.0,72.0,48448.91
GeForce RTX 3060 12GB,718.0,616.0,48167.85
GeForce RTX 3060 T,981.0,229.0,48013.38
GeForce RTX 3070,1063.0,762.0,47659.68
GeForce RTX 3070 T,1096.0,174.0,47601.26
GeForce RTX 3080,1636.0,656.0,47471.4
GeForce RTX 3080 T,1886.0,256.0,47115.93
GeForce RTX 3090,2483.0,334.0,47074.77
Radeon RX 6700 XT,812.0,533.0,47072.12
Radeon RX 6800,1103.0,129.0,47056.41
Radeon RX 6800 XT,1195.0,143.0,46910.13
Radeon RX 6900 XT,1521.0,88.0,46858.53
GeForce RTX 3060 12GB,707.0,1068.0,46809.17
GeForce RTX 3060 T,939.0,958.0,46689.28
GeForce RTX 3070,1094.0,1480.0,46441.64
GeForce RTX 3070 T,1075.0,606.0,46282.56
GeForce RTX 3080,1583.0,1306.0,46249.56
GeForce RTX 3080 T,1810.0,402.0,46173.51
GeForce RTX 3090,2341.0,694.0,45982.55
Radeon RX 6600 XT,634.0,209.0,45862.98
Radeon RX 6700 XT,869.0,454.0,45611.46
Radeon RX 6800,1157.0,83.0,44968.76
Radeon RX 6800 XT,1212.0,159.0,44847.48
Radeon RX 6900 XT,1557.0,67.0,44648.57
GeForce RTX 3060 12GB,723.0,1215.0,44536.2
GeForce RTX 3060 T,933.0,1060.0,44418.83
GeForce RTX 3070,1205.0,971.0,44417.78
GeForce RTX 3070 T,1141.0,573.0,44334.33
GeForce RTX 3080,1708.0,911.0,44004.47
GeForce RTX 3080 T,1832.0,546.0,43926.0
GeForce RTX 3090,2567.0,632.0,43120.63
Radeon RX 6600 XT,593.0,450.0,43102.44
Radeon RX 6700 XT,825.0,445.0,42787.69
Radeon RX 6800,1232.0,101.0,42580.94
Radeon RX 6800 XT,1280.0,202.0,42546.44
Radeon RX 6900 XT,1620.0,64.0,42381.48
GeForce RTX 3060 12GB,707.0,1719.0,42248.35
GeForce RTX 3060 T,916.0,1988.0,41795.77
GeForce RTX 3070,1204.0,1029.0,41690.93
GeForce RTX 3070 T,1167.0,541.0,41071.41
GeForce RTX 3080,1666.0,1253.0,40805.72
GeForce RTX 3080 T,1880.0,651.0,40784.32
GeForce RTX 3090,2620.0,854.0,40684.42
Radeon RX 6600 XT,584.0,727.0,40472.7
Radeon RX 6700 XT,869.0,420.0,40240.72
Radeon RX 6800,1314.0,61.0,40102.2
Radeon RX 6800 XT,1328.0,149.0,40014.55
Radeon RX 6900 XT,1526.0,109.0,39939.9
GeForce RTX 3060 12GB,699.0,1581.0,39727.65
GeForce RTX 3060 T,930.0,1643.0,39680.6
GeForce RTX 3070,1213.0,955.0,39486.04
GeForce RTX 3070 T,1174.0,470.0,39320.82
GeForce RTX 3080,1672.0,888.0,39249.28
GeForce RTX 3080 T,1817.0,675.0,38410.5
GeForce RTX 3090,2750.0,647.0,38407.69
Radeon RX 6600,578.0,19.0,38382.32
Radeon RX 6600 XT,629.0,404.0,38344.78
Radeon RX 6700 XT,848.0,457.0,38114.94
Radeon RX 6800,1234.0,113.0,37770.15
Radeon RX 6800 XT,1287.0,131.0,37727.19
Radeon RX 6900 XT,1501.0,132.0,37704.56
GeForce RTX 3060 12GB,695.0,1235.0,37393.13
GeForce RTX 3060 T,899.0,1630.0,37338.36
GeForce RTX 3070,1138.0,1098.0,37291.48
GeForce RTX 3070 T,1111.0,694.0,37280.35
GeForce RTX 3080,1637.0,884.0,37146.85
GeForce RTX 3080 T,1830.0,681.0,37092.4
GeForce RTX 3090,2704.0,686.0,37002.09
Radeon RX 6600,559.0,106.0,36860.41
Radeon RX 6600 XT,631.0,1026.0,36828.52
Radeon RX 6700 XT,859.0,906.0,36823.5
Radeon RX 6800,1260.0,191.0,36704.57
Radeon RX 6800 XT,1314.0,285.0,36480.85
Radeon RX 6900 XT,1512.0,302.0,35816.17
GeForce RTX 3060 12GB,698.0,2446.0,35729.82
GeForce RTX 3060 T,907.0,3782.0,35684.59
GeForce RTX 3070,1144.0,2411.0,35538.98
GeForce RTX 3070 T,1124.0,1508.0,35529.66
GeForce RTX 3080,1666.0,1872.0,35524.17
GeForce RTX 3080 T,1829.0,1439.0,35494.9
GeForce RTX 3090,2737.0,1463.0,35071.43
Radeon RX 6600,588.0,377.0,35047.36
Radeon RX 6600 XT,665.0,857.0,34754.54
Radeon RX 6700 XT,945.0,661.0,34011.82
Radeon RX 6800,1332.0,123.0,33856.86
Radeon RX 6800 XT,1384.0,283.0,33839.04
Radeon RX 6900 XT,1599.0,206.0,33536.88
GeForce RTX 3060 12GB,749.0,2159.0,33514.87
GeForce RTX 3060 T,1002.0,2166.0,33000.78
GeForce RTX 3070,1193.0,2380.0,32297.89
GeForce RTX 3070 T,1201.0,1258.0,32243.26
GeForce RTX 3080,1720.0,1448.0,32160.91
GeForce RTX 3080 T,1895.0,1483.0,32099.74
GeForce RTX 3090,2936.0,1305.0,32035.03
Radeon RX 6600,578.0,346.0,31686.55
Radeon RX 6600 XT,659.0,282.0,31520.66
Radeon RX 6700 XT,898.0,584.0,31117.83
Radeon RX 6800,1282.0,90.0,30797.88
Radeon RX 6800 XT,1387.0,234.0,30429.88
Radeon RX 6900 XT,1527.0,236.0,30189.25
GeForce RTX 3060 12GB,761.0,2020.0,29901.35
GeForce RTX 3060 T,1007.0,2796.0,29834.09
GeForce RTX 3070,1179.0,1891.0,29790.24
GeForce RTX 3070 T,1244.0,1063.0,29409.92
GeForce RTX 3080,1783.0,1495.0,29013.69
GeForce RTX 3080 T,1992.0,1141.0,28856.59
GeForce RTX 3090,2918.0,1295.0,28680.97
Radeon RX 6500 XT,365.0,14.0,23403.29
Radeon RX 6600,516.0,449.0,23326.49
Radeon RX 6600 XT,610.0,537.0,23298.94
Radeon RX 6700 XT,847.0,540.0,23295.14
Radeon RX 6800,1150.0,105.0,23253.37
Radeon RX 6800 XT,1269.0,250.0,23193.99
Radeon RX 6900 XT,1528.0,209.0,23154.09
GeForce RTX 3050,539.0,17.0,22947.19
GeForce RTX 3060 12GB,711.0,1834.0,22582.4
GeForce RTX 3060 T,923.0,2380.0,22538.08
GeForce RTX 3070,1086.0,1786.0,22392.71
GeForce RTX 3070 T,1179.0,1010.0,22189.29
GeForce RTX 3080,1613.0,1569.0,21673.03
GeForce RTX 3080 T,1874.0,871.0,21636.45
GeForce RTX 3090,2609.0,1353.0,21597.93
Radeon RX 6500 XT,272.0,124.0,21520.51
Radeon RX 6600,463.0,239.0,21481.38
Radeon RX 6600 XT,568.0,320.0,21292.67
Radeon RX 6700 XT,783.0,398.0,21197.1
Radeon RX 6800,1033.0,112.0,21194.68
Radeon RX 6800 XT,1176.0,192.0,21150.33
Radeon RX 6900 XT,1421.0,139.0,21020.04
GeForce RTX 3050,455.0,330.0,20920.33
GeForce RTX 3060 12GB,636.0,1485.0,20843.22
GeForce RTX 3060 T,847.0,2084.0,20703.51
GeForce RTX 3070,988.0,1512.0,20628.5
GeForce RTX 3070 T,1001.0,929.0,20601.63
GeForce RTX 3080,1440.0,1222.0,20598.44
GeForce RTX 3080 12GB,1547.0,82.0,20499.29
GeForce RTX 3080 T,1721.0,753.0,20342.25
GeForce RTX 3090,2341.0,968.0,20256.61
Radeon RX 6500 XT,237.0,69.0,20233.32
Radeon RX 6600,403.0,274.0,20208.45
Radeon RX 6600 XT,495.0,485.0,20181.91
Radeon RX 6700 XT,643.0,570.0,20130.52
Radeon RX 6800,888.0,98.0,20101.27
Radeon RX 6800 XT,996.0,254.0,20047.68
Radeon RX 6900 XT,1256.0,173.0,19956.49
GeForce RTX 3050,416.0,221.0,19952.91
GeForce RTX 3060 12GB,580.0,1135.0,19946.31
GeForce RTX 3060 T,754.0,1935.0,19789.87
GeForce RTX 3070,858.0,1567.0,19632.61
GeForce RTX 3070 T,880.0,1097.0,19454.54
GeForce RTX 3080,1283.0,1355.0,19408.63
GeForce RTX 3080 12GB,1378.0,69.0,19377.66
GeForce RTX 3080 T,1531.0,687.0,19330.74
GeForce RTX 3090,2111.0,983.0,19327.53
GeForce RTX 3090 T,2724.0,11.0,19292.99
Radeon RX 6500 XT,221.0,61.0,19288.97
Radeon RX 6600,365.0,400.0,19276.59
Radeon RX 6600 XT,422.0,410.0,19226.97
Radeon RX 6700 XT,554.0,628.0,19226.7
Radeon RX 6800,755.0,198.0,19171.34
Radeon RX 6800 XT,845.0,326.0,19164.48
Radeon RX 6900 XT,1059.0,186.0,19155.06
GeForce RTX 3050,356.0,98.0,19125.65
GeForce RTX 3060 12GB,480.0,589.0,19063.1
GeForce RTX 3060 T,657.0,1747.0,19049.72
GeForce RTX 3070,777.0,1709.0,18977.51
GeForce RTX 3070 T,779.0,1037.0,18792.52
GeForce RTX 3080,1114.0,1419.0,18699.75
GeForce RTX 3080 12GB,1025.0,90.0,18670.49
GeForce RTX 3080 T,1291.0,665.0,18554.15
GeForce RTX 3090,1770.0,999.0,18540.11
GeForce RTX 3090 T,2300.0,66.0,18507.36
Radeon RX 6400,151.0,4.0,18422.28
Radeon RX 6500 XT,192.0,49.0,18029.36
Radeon RX 6600,290.0,174.0,17820.57
Radeon RX 6600 XT,350.0,375.0,17679.72
Radeon RX 6650 XT,400.0,0.0,17550.23
Radeon RX 6700 XT,477.0,389.0,16310.3
Radeon RX 6750 XT,511.0,4.0,16091.07
Radeon RX 6800,655.0,154.0,15591.39
Radeon RX 6800 XT,767.0,265.0,14839.84
Radeon RX 6900 XT,875.0,172.0,13458.66
Radeon RX 6950 XT,1600.0,2.0,13128.46
GeForce RTX 3050,315.0,139.0,12990.25
GeForce RTX 3060,424.0,804.0,12944.52
GeForce RTX 3060 T,579.0,1558.0,12293.72
GeForce RTX 3070,641.0,1364.0,11969.53
GeForce RTX 3070 T,710.0,850.0,11914.01
GeForce RTX 3080,899.0,1197.0,11873.98
GeForce RTX 3080 12GB,959.0,69.0,11774.38
GeForce RTX 3080 T,1134.0,617.0,11772.94
GeForce RTX 3090,1438.0,754.0,11758.16
GeForce RTX 3090 T,1829.0,44.0,11684.06
Radeon RX 6400,153.0,3.0,11683.44
Radeon RX 6500 XT,171.0,52.0,11653.02
Radeon RX 6600,258.0,221.0,11534.75
Radeon RX 6600 XT,299.0,417.0,11508.2
Radeon RX 6650 XT,368.0,43.0,11481.64
Radeon RX 6700 XT,407.0,421.0,11467.37
Radeon RX 6750 XT,513.0,5.0,11392.43
Radeon RX 6800,551.0,148.0,11366.51
Radeon RX 6800 XT,625.0,228.0,11337.4
Radeon RX 6900 XT,767.0,176.0,11327.57
Radeon RX 6950 XT,1069.0,10.0,11302.67
GeForce RTX 3050,304.0,124.0,11081.43
GeForce RTX 3060,379.0,646.0,11042.4
GeForce RTX 3060 T,461.0,1324.0,10934.94
GeForce RTX 3070,518.0,1472.0,10777.92
GeForce RTX 3070 T,620.0,634.0,10732.43
GeForce RTX 3080,728.0,1134.0,10692.84
GeForce RTX 3080 12GB,835.0,40.0,10670.8
GeForce RTX 3080 T,956.0,499.0,10603.74
GeForce RTX 3090,1098.0,885.0,10532.22
GeForce RTX 3090 T,1538.0,107.0,10367.74
Radeon RX 6400,157.0,7.0,10330.77
Radeon RX 6500 XT,162.0,44.0,10275.38
Radeon RX 6600,235.0,275.0,10187.51
Radeon RX 6600 XT,285.0,423.0,10162.41
Radeon RX 6650 XT,359.0,33.0,10159.62
Radeon RX 6700 XT,393.0,518.0,9989.39
Radeon RX 6750 XT,505.0,3.0,9782.59
Radeon RX 6800,513.0,149.0,9703.93
Radeon RX 6800 XT,615.0,188.0,9670.43
Radeon RX 6900 XT,697.0,160.0,9669.4
Radeon RX 6950 XT,843.0,9.0,9623.75
GeForce RTX 3050,288.0,116.0,9613.11
GeForce RTX 3060,355.0,478.0,9527.39
GeForce RTX 3060 T,437.0,1428.0,9459.97
GeForce RTX 3070,488.0,1459.0,9426.7
GeForce RTX 3070 T,593.0,549.0,9425.98
GeForce RTX 3080,696.0,1186.0,9385.7
GeForce RTX 3080 12GB,773.0,101.0,9378.09
GeForce RTX 3080 T,901.0,432.0,9295.9
GeForce RTX 3090,1057.0,828.0,9279.81
GeForce RTX 3090 T,1452.0,80.0,9276.58
Radeon RX 6400,143.0,14.0,9256.23
Radeon RX 6500 XT,153.0,50.0,9254.52
Radeon RX 6600,232.0,218.0,9236.38
Radeon RX 6600 XT,274.0,183.0,9197.54
Radeon RX 6650 XT,345.0,22.0,9185.35
Radeon RX 6700 XT,378.0,373.0,9174.71
Radeon RX 6750 XT,456.0,14.0,9167.26
Radeon RX 6800,486.0,102.0,9163.87
Radeon RX 6800 XT,563.0,144.0,9155.89
Radeon RX 6900 XT,685.0,266.0,9133.97
Radeon RX 6950 XT,914.0,11.0,9131.0
GeForce RTX 3050,279.0,78.0,9127.47
GeForce RTX 3060,339.0,722.0,9087.98
GeForce RTX 3060 T,424.0,1253.0,9067.39
GeForce RTX 3070,463.0,1284.0,9057.57
GeForce RTX 3070 T,547.0,556.0,9030.96
GeForce RTX 3080,665.0,1066.0,9004.23
GeForce RTX 3080 12GB,771.0,128.0,8910.85
GeForce RTX 3080 T,836.0,557.0,8903.95
GeForce RTX 3090,957.0,772.0,8899.66
GeForce RTX 3090 T,1247.0,123.0,8824.66
Radeon RX 6400,137.0,22.0,8814.53
Radeon RX 6500 XT,140.0,56.0,8813.89
Radeon RX 6600,204.0,295.0,8758.9
Radeon RX 6600 XT,238.0,519.0,8722.26
Radeon RX 6650 XT,300.0,19.0,8703.36
Radeon RX 6700 XT,337.0,575.0,8658.94
Radeon RX 6750 XT,430.0,11.0,8628.77
Radeon RX 6800,419.0,149.0,8588.42
Radeon RX 6800 XT,518.0,237.0,8534.17
Radeon RX 6900 XT,645.0,236.0,8173.97
Radeon RX 6950 XT,795.0,9.0,8120.8
GeForce RTX 3050,260.0,78.0,7885.46
GeForce RTX 3060,312.0,834.0,7790.66
GeForce RTX 3060 T,355.0,1611.0,7759.24
GeForce RTX 3070,409.0,1856.0,7699.27
GeForce RTX 3070 T,493.0,629.0,7547.19
GeForce RTX 3080,585.0,1520.0,7523.83
GeForce RTX 3080 12GB,684.0,158.0,7514.41
GeForce RTX 3080 T,754.0,682.0,7507.08
GeForce RTX 3090,834.0,1121.0,7431.0
GeForce RTX 3090 T,1117.0,202.0,7351.57
Radeon RX 6400,138.0,23.0,7337.42
Radeon RX 6500 XT,141.0,52.0,7324.03
Radeon RX 6600,182.0,337.0,7205.55
Radeon RX 6600 XT,221.0,642.0,7202.31
Radeon RX 6650 XT,299.0,17.0,7194.4
Radeon RX 6700 10GB,330.0,0.0,7192.85
Radeon RX 6700 XT,313.0,633.0,7192.72
Radeon RX 6750 XT,430.0,2.0,7189.16
Radeon RX 6800,399.0,198.0,7175.68
Radeon RX 6800 XT,491.0,277.0,7163.63
Radeon RX 6900 XT,623.0,261.0,7067.74
Radeon RX 6950 XT,752.0,23.0,7034.89
GeForce RTX 3050,241.0,103.0,6907.4
GeForce RTX 3060,286.0,1106.0,6891.6
GeForce RTX 3060 T,320.0,1989.0,6879.54
GeForce RTX 3070,376.0,2278.0,6871.95
GeForce RTX 3070 T,459.0,821.0,6857.66
GeForce RTX 3080,562.0,2038.0,6852.52
GeForce RTX 3080 12GB,663.0,163.0,6502.16
GeForce RTX 3080 T,755.0,888.0,6226.44
GeForce RTX 3090,812.0,1789.0,5885.41
GeForce RTX 3090 T,1105.0,269.0,5357.61
GeForce RTX 4090,2333.0,1139.0,5166.26
